filename,width,height,class,xmin,ymin,xmax,ymax
WIN_20241218_19_13_51_Pro-2-_jpg.rf.d06eb69afd9fdbba38e9c32f53376c7b.jpg,640,640,red sample,346,0,476,169
WIN_20241218_19_13_51_Pro-2-_jpg.rf.d06eb69afd9fdbba38e9c32f53376c7b.jpg,640,640,red sample,426,236,577,444
WIN_20241218_19_13_51_Pro-2-_jpg.rf.d06eb69afd9fdbba38e9c32f53376c7b.jpg,640,640,blue sample,273,104,388,253
WIN_20241218_19_13_51_Pro-2-_jpg.rf.d06eb69afd9fdbba38e9c32f53376c7b.jpg,640,640,blue sample,274,250,393,399

WIN_20241218_18_40_48_Pro-2-_jpg.rf.d137b0c0ad331334001d85eb089f860f.jpg,640,640,blue sample,259,301,377,570
WIN_20241217_18_36_57_Pro-2-_jpg.rf.d19ea08ea8ad3fced65855370929635d.jpg,640,640,yellow sample,386,289,565,570

WIN_20241206_23_58_16_Pro_jpg.rf.d1ed848f7d5335ea14250eb8efd4f2e2.jpg,640,640,yellow sample,189,60,286,354
WIN_20241207_00_28_16_Pro_jpg.rf.d0d40d952a7060564bae2e8839b84234.jpg,640,640,blue sample,287,181,367,475
WIN_20241218_19_13_50_Pro_jpg.rf.d16ba64024281c78fed8eaa7d3755651.jpg,640,640,red sample,344,61,452,281
WIN_20241218_19_13_50_Pro_jpg.rf.d16ba64024281c78fed8eaa7d3755651.jpg,640,640,red sample,350,325,475,581
WIN_20241218_19_13_50_Pro_jpg.rf.d16ba64024281c78fed8eaa7d3755651.jpg,640,640,blue sample,224,97,349,247
WIN_20241218_19_13_50_Pro_jpg.rf.d16ba64024281c78fed8eaa7d3755651.jpg,640,640,blue sample,184,181,301,411
WIN_20241207_00_16_47_Pro-2-_jpg.rf.d217366504a1e48a37f152e9b1cd44b5.jpg,640,640,red sample,298,177,364,411
WIN_20241217_18_53_40_Pro-2-_jpg.rf.d3429148ee3a91d5d3b302b773e2d583.jpg,640,640,red sample,228,196,376,339
WIN_20241218_18_41_20_Pro_jpg.rf.d0a1e428dda60ab2025b6ece573ad633.jpg,640,640,blue sample,101,0,242,71

WIN_20241218_18_40_46_Pro-3-_jpg.rf.d1b523540d63350c7d152faad4247966.jpg,640,640,blue sample,340,163,423,441
WIN_20241217_18_53_46_Pro_jpg.rf.d398b3c89490af8be987d6abbd73bc03.jpg,640,640,red sample,202,33,351,194
WIN_20241207_00_28_18_Pro-2-_jpg.rf.d3a15f1beba04f71ff4c6834c093b4ea.jpg,640,640,blue sample,223,80,398,314

WIN_20241217_18_36_11_Pro_jpg.rf.d3e4c13d6e1fc4ccc3ea441eaec21bcd.jpg,640,640,yellow sample,157,5,351,433
WIN_20241218_18_40_30_Pro-2-_jpg.rf.d3599cd795f66d7727d71c8a79382581.jpg,640,640,blue sample,353,269,458,617
WIN_20241217_18_53_04_Pro-2-_jpg.rf.d3d6051dd00613e6ca5e7fb591c0665e.jpg,640,640,red sample,397,0,469,174
WIN_20241217_18_53_38_Pro_jpg.rf.d29a72ba2ffd0c99ea646309198420bd.jpg,640,640,red sample,132,161,280,304
WIN_20241207_00_16_31_Pro-2-_jpg.rf.d4c6743e5896df29453582e85d3ebf84.jpg,640,640,red sample,300,146,536,452

WIN_20241217_18_36_03_Pro-3-_jpg.rf.d4b410b2d5ce9e591e1da57af0fd69b1.jpg,640,640,yellow sample,171,165,338,493
WIN_20241218_18_40_23_Pro_jpg.rf.d2b8d48ce7fe48743632c4f7ac214183.jpg,640,640,blue sample,231,212,328,453
